number,symbol,name,conceptid,preflabel_valueid
1,H,Hydrogen,d16b4b14-4c86-47de-9647-495833687298,b47acbcb-14b9-45d4-a6e6-a09dd62dcaac
2,He,Helium,10a215ed-a80c-4974-82a0-68766141b434,70a25897-c967-4a36-8534-720589d3c2a4
3,Li,Lithium,0a14e5d4-2bde-46ad-9eed-e888bab1e53b,42c02d9c-7d81-4cf9-8d31-c97755698dff
4,Be,Beryllium,ba723d66-715f-49f3-b3d2-40c9f20510f1,a427eb5e-126c-44e3-aa04-fc86fbc3b274
5,B,Boron,45843dac-a726-435b-bc77-f3132c328e63,1b4976d1-afb8-4490-a0a0-8c0fcc651a12
6,C,Carbon,c64d26d1-d0b5-4a9a-9286-4942b915925d,85e6b4ee-31ec-4720-a910-992f8901f135
7,N,Nitrogen,798ecc23-2f34-4e13-94b4-b5a0831a2f3a,bcf3573d-a281-4620-99a4-f307a5576e26
8,O,Oxygen,94d5c83b-a55b-4d87-80cd-bfad1c9e717c,76e57b3f-be10-4b48-9453-fc7406525746
9,F,Fluorine,e8d1a9bd-045a-4c96-9f9a-20944737ee83,99ca84de-a662-4a8f-bb1e-05f998f7b585
10,Ne,Neon,dad241d2-175c-4319-bcf9-c1ba70bda7e6,41fb44c0-8d12-48e3-b08b-032aa5ba2c47
11,Na,Sodium,8b7bd8bb-b228-4d0d-91a8-038f202d9f51,01315ca1-582a-4cf8-984f-f1c0d9291f48
12,Mg,Magnesium,f6c7105e-fa1d-4da4-9c11-0fc3cb06c8f0,48329483-05f7-47ae-bfc6-04c0ecf29d1d
13,Al,Aluminum,66d75c7b-cafc-4740-87ab-1d9ce3f755ea,f91dafc9-57f2-4b7d-8fb2-c801681bd7e7
14,Si,Silicon,8c1595e4-6f8e-434c-9f65-e1c3589c3f72,8c85fcac-41f4-460e-aa46-e407947b459f
15,P,Phosphorus,bbaee296-3eb4-44c9-8bc9-ecaadca00e01,8c694322-367b-4966-9ab9-6fe2e2613246
16,S,Sulfur,6da257a3-a82f-48a4-b4f0-7276131b0c4e,9a3d82ec-5c5a-48fd-af32-406522ee7c61
17,Cl,Chlorine,4895c70f-fb12-4412-84d5-86abe742cb30,c2f753ab-b2cc-493f-9e25-7431178fef87
18,Ar,Argon,af775082-8a3d-464a-9f03-a8d9b6b26f10,b9561b4b-9b8e-4065-b1a4-8c94b65371c8
19,K,Potassium,2ff81125-8e3f-43fc-a92a-75baed7639e3,a98ae006-b38a-4821-83c1-f419876e2318
20,Ca,Calcium,3b5b53d3-bc3b-4b94-bbce-b435cbb8d210,9f2f0a18-1ca3-415e-bb03-fe96720f8a18
21,Sc,Scandium,f8cc9721-cbab-4d76-a588-4a76c220687d,a95f7f2b-ce50-4131-bdaa-1905cbedee45
22,Ti,Titanium,3437adbb-97df-463a-b1c6-65ffaaf28414,7ef706ab-9a95-4d67-a805-1f4029856ee4
23,V,Vanadium,ff3918b4-ebf5-407b-9d9e-951532a6e55f,f2b04911-e012-4708-83e1-8596107a2cc1
24,Cr,Chromium,6c77fa92-dd5d-4a95-8ce9-55f9a0aead45,502249b3-e0c9-40e5-ad86-a30df0f003f4
25,Mn,Manganese,5f443efa-08fa-41bf-9bad-b829e8083429,8d22cb6a-4dff-4bf6-9445-5fa40105c59e
26,Fe,Iron,0ede5787-434b-4bf2-94d3-ac5ba80465b5,afd6fe33-b5df-41ee-a020-8f4970c4587e
27,Co,Cobalt,1c5ba628-5ab6-4ee7-946a-a4bdefee0919,e093afc6-3a44-4118-aa7d-d78c440100a1
28,Ni,Nickel,e21920ed-72ee-4e63-a9c4-98e0fd2c6811,e02c19c3-88c6-429b-b725-713659ed76f1
29,Cu,Copper,8e08ccab-5aea-4d44-9b89-9e0834aa8390,067eacff-db7c-4462-a80b-948210993cbb
30,Zn,Zinc,50cbd32b-14d0-4ac4-ade4-629a3ad8c694,f2c339c5-ef47-4560-99c5-5aa1678f2d74
31,Ga,Gallium,f7cd5a85-2b8d-42ec-9566-57a59af9c8c8,3193635c-407f-4718-bbd8-baff3d3054b4
32,Ge,Germanium,d3760ea8-324f-479c-b8ea-7b1b05fcb7c1,8b480d2d-e6a9-441d-bd56-01b79f70f105
33,As,Arsenic,339e769f-4259-450c-8572-903858343869,6d46224f-9f06-4bfd-9e58-1ff9fc8d7a85
34,Se,Selenium,b8dced33-c032-4dfc-a72d-1df8bb185760,de53f7e7-4277-4ab7-9554-0698e30666b0
