item_uuid,Item Label,URI,Citation URI,Project,Arches Project UUID,Latitude (WGS 84),Longitude (WGS 84),Early BCE/CE,Late BCE/CE,Item Category,Item Category (AFS concept),Creator,Weight (grams),Decoration,New Simple Decoration,Other info,As,Au,Ba,Br,Ca,Nd,Rb,Sb,Sc,Sm,Ta,Tb,Th,U,Yb,Zn,Ce,Co,Cr,Cs,Eu,Fe,Hf,K,La,Lu,Na,geo_point
5100ac40-17d5-4cad-b237-e47d0c1b3de8,AIA 1000,https://opencontext.org/subjects/5100ac40-17d5-4cad-b237-e47d0c1b3de8,https://n2t.net/ark:/28722/k25t41f5m,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1070,-900,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,67.5,0.001,895,6.4,9.4,,,,,,,,,,,,58.8,36.4,415,4,0.87,5.04,3.9,2.3,28.9,0.356,0.913,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
9a9a6f3d-bf31-4d00-843d-b7b25feb6b79,AIA 1001,https://opencontext.org/subjects/9a9a6f3d-bf31-4d00-843d-b7b25feb6b79,https://n2t.net/ark:/28722/k29g61v80,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-650,-480,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,80.9,0.001,979,4.4,7.4,,,,,,,,,,,,57.8,34.2,372,8.51,1.1,5.03,3.67,2.9,28.9,0.328,0.45,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
03b53b38-bad9-44c6-9111-a0036cba4741,AIA 1002,https://opencontext.org/subjects/03b53b38-bad9-44c6-9111-a0036cba4741,https://n2t.net/ark:/28722/k2f76rp2c,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1070,-900,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,10,0.001,1040,3.9,8,,,,,,,,,,,,60.3,50.7,478,3.3,1.17,5.78,4.17,0.001,28.7,0.398,1.23,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
710afa1c-d647-476c-847e-6847ba96e82c,AIA 1003,https://opencontext.org/subjects/710afa1c-d647-476c-847e-6847ba96e82c,https://n2t.net/ark:/28722/k2k07gg51,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1070,-900,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,22,0.001,684,6.26,6.3,,,,,,,,,,,,59.2,34,421,4.56,1.29,5.32,4.23,2.6,29.7,0.425,1.27,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
6a12c2ab-9275-4aa3-bcbe-86792c767e79,AIA 1004,https://opencontext.org/subjects/6a12c2ab-9275-4aa3-bcbe-86792c767e79,https://n2t.net/ark:/28722/k2pr8688c,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1150,-1040,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,12,0.001,590,0.9,5.4,,,,,,,,,,,,72,30,255,8.7,1.2,4.77,5.2,2.6,35,0.45,1.13,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
0e28a937-719b-425b-9b9f-3fa9f107c090,AIA 1005,https://opencontext.org/subjects/0e28a937-719b-425b-9b9f-3fa9f107c090,https://n2t.net/ark:/28722/k2th8x318,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1150,-1040,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,19,6.0,840,3.5,4.1,,,,,,,,,,,,63,13,117,5.1,1,2.97,5.4,1.6,31.2,0.3,0.86,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
ac7abed7-8350-4dad-ae2a-cef708c79e8b,AIA 1006,https://opencontext.org/subjects/ac7abed7-8350-4dad-ae2a-cef708c79e8b,https://n2t.net/ark:/28722/k2z89mw6g,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1150,-1040,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,49,0.001,960,1.4,5.8,,,,,,,,,,,,59,17,223,5.1,1.2,3.77,4.1,3.1,29.6,0.35,0.99,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
79ca5201-c21d-41bf-82db-cf76f4679f55,AIA 1007,https://opencontext.org/subjects/79ca5201-c21d-41bf-82db-cf76f4679f55,https://n2t.net/ark:/28722/k2320bj2h,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1150,-1040,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,9,0.001,720,3.1,3.8,,,,,,,,,,,,76,16,113,11,1.5,3.92,6.4,2.3,40.1,0.51,0.8,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
bd1a0b6f-c400-40c8-add1-554ef0870c99,AIA 1008,https://opencontext.org/subjects/bd1a0b6f-c400-40c8-add1-554ef0870c99,https://n2t.net/ark:/28722/k26q2bz43,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1150,-1040,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,38,9.0,1500,2.3,7.3,,,,,,,,,,,,60,13,103,6.2,1.2,2.6,4.9,3.1,31.4,0.32,0.75,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
390d009e-8e63-4f4d-bee3-367ca432f697,AIA 1009,https://opencontext.org/subjects/390d009e-8e63-4f4d-bee3-367ca432f697,https://n2t.net/ark:/28722/k2bg32r9q,LBA-IA Ceramic Compositional Data from Troy,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,39.9574327844,26.2384586227,-1150,-1040,Pottery,https://afsdemo.archesproject.org/rdm/ce956428-a4a6-4f5a-82aa-75d50ec759d1,Pavol Hnila|Carolyn Aslan|Diane Thumm-Dograyan|Wendy Rigter|Peter Grave|Lisa Kealhofer|Ben Marsh,,,,,123,0.001,1300,5.2,2.1,,,,,,,,,,,,60,13,112,2.9,1.1,2.93,5,2.4,32.6,0.34,1.34,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}"
