item_uuid,Item Label,cite,statement_cite,statement_cite_html
5100ac40-17d5-4cad-b237-e47d0c1b3de8,AIA 1000,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1000 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/5100ac40-17d5-4cad-b237-e47d0c1b3de8> ARK (Archive): https://n2t.net/ark:/28722/k25t41f5m","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1000 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/5100ac40-17d5-4cad-b237-e47d0c1b3de8> ARK (Archive): https://n2t.net/ark:/28722/k25t41f5m","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1000 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/5100ac40-17d5-4cad-b237-e47d0c1b3de8"" target=""_blank"">https://opencontext.org/subjects/5100ac40-17d5-4cad-b237-e47d0c1b3de8</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k25t41f5m"">https://n2t.net/ark:/28722/k25t41f5m</a>"
9a9a6f3d-bf31-4d00-843d-b7b25feb6b79,AIA 1001,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1001 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/9a9a6f3d-bf31-4d00-843d-b7b25feb6b79> ARK (Archive): https://n2t.net/ark:/28722/k29g61v80","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1001 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/9a9a6f3d-bf31-4d00-843d-b7b25feb6b79> ARK (Archive): https://n2t.net/ark:/28722/k29g61v80","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1001 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/9a9a6f3d-bf31-4d00-843d-b7b25feb6b79"" target=""_blank"">https://opencontext.org/subjects/9a9a6f3d-bf31-4d00-843d-b7b25feb6b79</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k29g61v80"">https://n2t.net/ark:/28722/k29g61v80</a>"
03b53b38-bad9-44c6-9111-a0036cba4741,AIA 1002,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1002 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/03b53b38-bad9-44c6-9111-a0036cba4741> ARK (Archive): https://n2t.net/ark:/28722/k2f76rp2c","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1002 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/03b53b38-bad9-44c6-9111-a0036cba4741> ARK (Archive): https://n2t.net/ark:/28722/k2f76rp2c","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1002 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/03b53b38-bad9-44c6-9111-a0036cba4741"" target=""_blank"">https://opencontext.org/subjects/03b53b38-bad9-44c6-9111-a0036cba4741</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2f76rp2c"">https://n2t.net/ark:/28722/k2f76rp2c</a>"
710afa1c-d647-476c-847e-6847ba96e82c,AIA 1003,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1003 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/710afa1c-d647-476c-847e-6847ba96e82c> ARK (Archive): https://n2t.net/ark:/28722/k2k07gg51","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1003 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/710afa1c-d647-476c-847e-6847ba96e82c> ARK (Archive): https://n2t.net/ark:/28722/k2k07gg51","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1003 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/710afa1c-d647-476c-847e-6847ba96e82c"" target=""_blank"">https://opencontext.org/subjects/710afa1c-d647-476c-847e-6847ba96e82c</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2k07gg51"">https://n2t.net/ark:/28722/k2k07gg51</a>"
6a12c2ab-9275-4aa3-bcbe-86792c767e79,AIA 1004,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1004 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/6a12c2ab-9275-4aa3-bcbe-86792c767e79> ARK (Archive): https://n2t.net/ark:/28722/k2pr8688c","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1004 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/6a12c2ab-9275-4aa3-bcbe-86792c767e79> ARK (Archive): https://n2t.net/ark:/28722/k2pr8688c","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1004 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/6a12c2ab-9275-4aa3-bcbe-86792c767e79"" target=""_blank"">https://opencontext.org/subjects/6a12c2ab-9275-4aa3-bcbe-86792c767e79</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2pr8688c"">https://n2t.net/ark:/28722/k2pr8688c</a>"
0e28a937-719b-425b-9b9f-3fa9f107c090,AIA 1005,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1005 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/0e28a937-719b-425b-9b9f-3fa9f107c090> ARK (Archive): https://n2t.net/ark:/28722/k2th8x318","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1005 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/0e28a937-719b-425b-9b9f-3fa9f107c090> ARK (Archive): https://n2t.net/ark:/28722/k2th8x318","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1005 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/0e28a937-719b-425b-9b9f-3fa9f107c090"" target=""_blank"">https://opencontext.org/subjects/0e28a937-719b-425b-9b9f-3fa9f107c090</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2th8x318"">https://n2t.net/ark:/28722/k2th8x318</a>"
ac7abed7-8350-4dad-ae2a-cef708c79e8b,AIA 1006,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1006 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/ac7abed7-8350-4dad-ae2a-cef708c79e8b> ARK (Archive): https://n2t.net/ark:/28722/k2z89mw6g","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1006 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/ac7abed7-8350-4dad-ae2a-cef708c79e8b> ARK (Archive): https://n2t.net/ark:/28722/k2z89mw6g","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1006 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/ac7abed7-8350-4dad-ae2a-cef708c79e8b"" target=""_blank"">https://opencontext.org/subjects/ac7abed7-8350-4dad-ae2a-cef708c79e8b</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2z89mw6g"">https://n2t.net/ark:/28722/k2z89mw6g</a>"
79ca5201-c21d-41bf-82db-cf76f4679f55,AIA 1007,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1007 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/79ca5201-c21d-41bf-82db-cf76f4679f55> ARK (Archive): https://n2t.net/ark:/28722/k2320bj2h","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1007 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/79ca5201-c21d-41bf-82db-cf76f4679f55> ARK (Archive): https://n2t.net/ark:/28722/k2320bj2h","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1007 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/79ca5201-c21d-41bf-82db-cf76f4679f55"" target=""_blank"">https://opencontext.org/subjects/79ca5201-c21d-41bf-82db-cf76f4679f55</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2320bj2h"">https://n2t.net/ark:/28722/k2320bj2h</a>"
bd1a0b6f-c400-40c8-add1-554ef0870c99,AIA 1008,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1008 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/bd1a0b6f-c400-40c8-add1-554ef0870c99> ARK (Archive): https://n2t.net/ark:/28722/k26q2bz43","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1008 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/bd1a0b6f-c400-40c8-add1-554ef0870c99> ARK (Archive): https://n2t.net/ark:/28722/k26q2bz43","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1008 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/bd1a0b6f-c400-40c8-add1-554ef0870c99"" target=""_blank"">https://opencontext.org/subjects/bd1a0b6f-c400-40c8-add1-554ef0870c99</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k26q2bz43"">https://n2t.net/ark:/28722/k26q2bz43</a>"
390d009e-8e63-4f4d-bee3-367ca432f697,AIA 1009,"Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1009 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/390d009e-8e63-4f4d-bee3-367ca432f697> ARK (Archive): https://n2t.net/ark:/28722/k2bg32r9q","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

Citation:

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1009 from Asia/Turkey/Troy"", in LBA-IA Ceramic Compositional Data from Troy. <https://opencontext.org/subjects/390d009e-8e63-4f4d-bee3-367ca432f697> ARK (Archive): https://n2t.net/ark:/28722/k2bg32r9q","The chemical elements documented here were identified through Neutron Activation Analysis (NAA). NAA was used to help study discrete local ceramic production resources and ancient exchange patterns. 

<br/><br/><u>Citation</u>:<br/>

Pavol Hnila, Carolyn Aslan, Diane Thumm-Dograyan, Wendy Rigter, Peter Grave, Lisa Kealhofer, Ben Marsh (2020) ""AIA 1009 from Asia/Turkey/Troy"", in <em>LBA-IA Ceramic Compositional Data from Troy</em>. Open Context: <a href=""https://opencontext.org/subjects/390d009e-8e63-4f4d-bee3-367ca432f697"" target=""_blank"">https://opencontext.org/subjects/390d009e-8e63-4f4d-bee3-367ca432f697</a>, ARK (Archive): <a href=""https://n2t.net/ark:/28722/k2bg32r9q"">https://n2t.net/ark:/28722/k2bg32r9q</a>"
