item_uuid,Item Label,Arches Project UUID,geo_point,set_uuid,place_uuid,add_collection_types_uuid,add_statement
5100ac40-17d5-4cad-b237-e47d0c1b3de8,AIA 1000,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
9a9a6f3d-bf31-4d00-843d-b7b25feb6b79,AIA 1001,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
03b53b38-bad9-44c6-9111-a0036cba4741,AIA 1002,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
710afa1c-d647-476c-847e-6847ba96e82c,AIA 1003,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
6a12c2ab-9275-4aa3-bcbe-86792c767e79,AIA 1004,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
0e28a937-719b-425b-9b9f-3fa9f107c090,AIA 1005,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
ac7abed7-8350-4dad-ae2a-cef708c79e8b,AIA 1006,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
79ca5201-c21d-41bf-82db-cf76f4679f55,AIA 1007,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
bd1a0b6f-c400-40c8-add1-554ef0870c99,AIA 1008,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
390d009e-8e63-4f4d-bee3-367ca432f697,AIA 1009,2bc523c8-6d65-47c1-ad1e-1a8efd974c42,"{""type"": ""Point"", ""coordinates"": [26.2384586227, 39.9574327844]}",c0debb27-0791-4a83-bd33-77c5d66bffc2,ac2067dd-a25d-4eda-9406-33089b1ee111,"[""c30c8618-d9bd-4cab-a934-668ad92b1969""]",This sherd was recovered during archaeological excavations at Troy and the was selected for study using Neutron Activation Analysis (NAA). 
